index,searched_keyword,site_domain,result_title,result_date,result_url
1,"""digital security by design""",.uk,Digital Security by Design,12 Nov 2020,https://www.cyberuk.uk/2024/l/t?u=GdWpIZwbo42nSwDry2YZP5PwQul5i2zB8caq5fqXdQR7QG9mqlVpcp771zwB4VZPDWZPAoDUamL3xgOmOdD9yCVzhLlENR360njcSLJf-MXqiJDYrVdsDzQfFZB6RgXpjPlYcoMyYXkDLGqv9hc%3D&t=https%3A%2F%2Fwww.dsbd.tech%2F&i=bWUCB2ZLz_UHhQdHESrB-vltGHWdJYQA
2,"""digital security by design""",.uk,,,
3,"""digital security by design""",.uk,Digital Security by Design,28 Jan 2022,https://www.digicatapult.org.uk/apply/open-calls/opportunity/digital-security-by-design/
4,"""digital security by design""",.uk,Competition overview - software ecosystem development,4 Oct 2021,https://apply-for-innovation-funding.service.gov.uk/competition/1020/overview
5,"""digital security by design""",.uk,CHERI: The Digital Security by Design (DSbD) Initiative,18 Oct 2019,https://www.cl.cam.ac.uk/research/security/ctsrd/cheri/dsbd.html
6,"""digital security by design""",.uk,Global businesses – including Google and Microsoft,22 Jul 2019,https://www.gov.uk/government/news/global-businesses-including-google-and-microsoft-back-uk-to-block-cyber-threats-with-new-tech
7,"""digital security by design""",.uk,DSbD-Mid-Term-report-2023.pdf,8 Jun 2023,https://digicat.org.uk/3Klzpui?utm_source=facebook&utm_medium=social
8,"""digital security by design""",.uk,Companies across the UK join Digital Security by Design to ...,5 Oct 2022,https://www.digicatapult.org.uk/about/press-releases/post/companies-across-the-uk-join-digital-security-by-design-to-validate-next-generation-cybersecurity-technology/
9,"""digital security by design""",.uk,New cohort given access to Arm Morello board to trial ...,4 Jun 2024,https://www.businessweekly.co.uk/posts/new-cohort-given-access-to-arm-morello-board-to-trial-cyber-security-solutions
10,"""digital security by design""",.uk,Sensor IT Follows up on the Digital Security by Design ...,26 Nov 2023,https://www.sensorit.co.uk/sensor-it-dsbd-follow-up/
11,"""digital security by design""",.uk,Pytilia partners with CSIT to deliver UKRI funded Digital ...,30 Nov 2021,https://www.qub.ac.uk/research-centres/csit/news/news-archive/PytiliapartnerswithCSITtodeliverUKRIfundedDigitalSecuritybyDesignProject.html
12,"""digital security by design""",.uk,Newsletter,6 Mar 2022,http://digicat.org.uk/3VS1qzO
13,"""digital security by design""",.uk,Security - Sensor IT,5 Jan 2024,https://www.sensorit.co.uk/category/case-studies/security/
14,"""digital security by design""",.uk,CHERI adoption and diffusion research,15 May 2024,https://www.gov.uk/government/publications/cheri-adoption-and-diffusion-research
15,"""digital security by design""",.uk,24 April 2024 - Cyber resilience of the UK's critical national ...,24 Apr 2024,https://committees.parliament.uk/event/21367
16,"""digital security by design""",.uk,Launching a ground-breaking digital security brand - Firehaus,8 Dec 2020,https://www.firehaus.co.uk/work-blog/2020/12/8/launching-a-ground-breaking-digital-security-brand
17,"""digital security by design""",.uk,Holistic Design of Secure Systems on Capability Hardware,7 Dec 2020,https://www.southampton.ac.uk/research/projects/holistic-design-of-secure-systems-on-capability-hardware
18,"""digital security by design""",.uk,Discribe - Refractions,13 Mar 2024,https://www.refractions.org.uk/projects/discribe
19,"""digital security by design""",.uk,DSbD Desktop Project - UKRI Digital Security by Design,18 May 2024,https://www.capabilitieslimited.co.uk/current-projects/dsbd-desktop
20,"""digital security by design""",.uk,Foundations: Trustworthy by Design,30 Aug 2020,https://www.trusttech.cam.ac.uk/perspectives/foundations-trustworthy-design
21,"""digital security by design""",.uk,Cyber resilience of the UK's critical national infrastructure,16 Sept 2023,https://committees.parliament.uk/work/7934/cyber-resilience-of-the-uks-critical-national-infrastructure/
22,"""digital security by design""",.uk,Institute for Digital Security and Behaviour (IDSB),15 Jul 2024,https://researchportal.bath.ac.uk/en/organisations/institute-for-digital-security-and-behaviour-idsb
23,"""digital security by design""",.uk,University of Manchester links up with global e-commerce ...,24 Nov 2020,https://www.manchester.ac.uk/about/news/university-of-manchester-links-up-with-global-e-commerce-player-to-prevent-cyber-security-attacks/
24,"""digital security by design""",.uk,Developing our capability in cyber security,15 Jul 2020,https://www.ncsc.gov.uk/files/2020-ACE-CSR-brochure.pdf
25,"""digital security by design""",.uk,Cyber and Digital,2 Jun 2023,https://gw4.ac.uk/cyber-and-digital/
26,"""digital security by design""",.uk,Research Associate on Secure Networking by Design,20 Oct 2023,https://www.cs.ox.ac.uk/news/2201-full.html
27,"""digital security by design""",.uk,Smart Security,10 Jul 2023,https://smartmachinesandfactories.co.uk/category/sectors/smart-security/
28,"""digital security by design""",.uk,Cyber Security (Cyber Secure Everywhere) | Study at Bristol,9 Feb 2024,https://www.bristol.ac.uk/study/postgraduate/research/cyber-security-cyber-secure-everywhere/
29,"""digital security by design""",.uk,Robin Kennedy,17 Nov 2016,https://ktn-uk.co.uk/people/robin-kennedy
30,"""digital security by design""",.uk,New Bath research hub to bridge the gap between digital ...,5 Nov 2020,https://www.inyourarea.co.uk/news/new-bath-research-hub-to-bridge-the-gap-between-digital-security-and-society
31,"""digital security by design""",.uk,Nuala Kilmartin - UK Cyber Week 2024,18 Apr 2024,https://www.ukcyberweek.co.uk/speakers/nuala-kilmartin
32,"""digital security by design""",.uk,Adam Joinson,15 Jul 2016,https://researchportal.bath.ac.uk/en/persons/adam-joinson
33,"""digital security by design""",.uk,Lizzie Coles-Kemp,,https://pure.royalholloway.ac.uk/en/persons/lizzie-coles-kemp
34,"""digital security by design""",.uk,Awais Rashid - University of Bristol Research Portal,,https://research-information.bris.ac.uk/en/persons/awais-rashid
35,"""digital security by design""",.uk,News – BCC,12 Nov 2005,https://bcc.co.uk/news/
36,"""digital security by design""",.uk,News – Ioetec Ltd,11 Nov 2022,https://ioetec.co.uk/news/
37,"""digital security by design""",.uk,National Cyber Strategy 2022,15 Sept 2021,https://assets.publishing.service.gov.uk/media/620131fdd3bf7f78e469ce00/national-cyber-strategy-amend.pdf
38,"""digital security by design""",.uk,2024 Programme,23 Jul 2024,https://www.his-conference.co.uk/programme/2024-programme
39,"""digital security by design""",.uk,Workplace and Organisational Security,16 May 2021,https://www.socialsciences.manchester.ac.uk/dts/research/clusters/workplace-and-organisational-security/
40,"""digital security by design""",.uk,Technology - NCSC.GOV.UK,14 Nov 2023,https://www.ncsc.gov.uk/collection/annual-review-2023/technology
41,"""digital security by design""",.uk,AutoCHERI project addresses cyber security risks in the ...,26 Sept 2023,https://www.airto.co.uk/2023/09/autocheri-project-addresses-cyber-security-risks-in-the-automotive-industry/
